year,period_type,period,source_file,department,is_hospital_total,n_inpatients,patient_days,n_infected_patients,n_infection_episodes,incidence_pct,episode_incidence_pct,incidence_per_1000_pd,episode_incidence_per_1000_pd,n_underreported,underreport_pct,site_aad,site_ascites,site_bsi_non_catheter,site_burn,site_cauti,site_clabsi,site_clabsi_episodes,site_cns_other,site_genital_other,site_gi,site_infectious_diarrhoea,site_intraabdominal,site_intracranial_abscess,site_lower_resp,site_meningitis_ventriculitis,site_myocarditis_pericarditis,site_oral_fungal,site_oral_fungal_episodes,site_osteomyelitis,site_other,site_perineal_incision,site_septicaemia,site_skin,site_soft_tissue,site_spinal_canal,site_ssi_deep,site_ssi_deep_episodes,site_ssi_organ_space,site_ssi_organ_space_episodes,site_ssi_superficial,site_upper_resp,site_uti,site_vaginal_cuff,site_vap,site_vascular_related
2025,quarter,4,2025-Q4,Breast & Thyroid Surgery Ward,0,328,718.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Obstetrics Ward,0,339,1629.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Paediatrics Ward,0,1321,6770.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,General Practice Ward,0,517,3728.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Endocrinology Ward,0,548,3590.0,3,3,0.55,0.55,0.84,0.84,0,0.0,,,0,,0,,,,,,,0.0,,1,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,1.0,1,,0,
2025,quarter,4,2025-Q4,Respiratory & Critical Care Ward 1,0,738,5332.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Respiratory & Critical Care Ward 2,0,476,3412.0,1,1,0.21,0.21,0.29,0.29,0,0.0,,,0,,0,,,,,,,0.0,,0,,,1.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Respiratory & Critical Care ICU,0,119,340.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Gynaecology Ward,0,563,2235.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,,0,,0,,,,,,,0.0,,0,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
2025,quarter,4,2025-Q4,Rehabilitation Medicine Ward,0,295,4789.0,9,9,3.05,3.05,1.88,1.88,0,0.0,,,0,,4,,,,,,,0.0,,5,,,0.0,,,0,,0.0,0.0,0,0.0,0.0,,0.0,,,0.0,0,,0,
