year,period,year_month,source_file,department,is_hospital_total,n_inpatients,patient_days,n_infected_patients,n_infection_episodes,incidence_pct,episode_incidence_pct,incidence_per_1000_pd,episode_incidence_per_1000_pd,n_underreported,underreport_pct,site_aad,site_ascites,site_bsi_non_catheter,site_burn,site_cauti,site_clabsi,site_clabsi_episodes,site_cns_other,site_genital_other,site_gi,site_infectious_diarrhoea,site_intraabdominal,site_intracranial_abscess,site_lower_resp,site_meningitis_ventriculitis,site_myocarditis_pericarditis,site_oral_fungal,site_oral_fungal_episodes,site_osteomyelitis,site_other,site_perineal_incision,site_septicaemia,site_skin,site_soft_tissue,site_spinal_canal,site_ssi_deep,site_ssi_deep_episodes,site_ssi_organ_space,site_ssi_organ_space_episodes,site_ssi_superficial,site_upper_resp,site_uti,site_vaginal_cuff,site_vap,site_vascular_related
2023,2,2023-02,2023-02,Neurology Ward 1,0,260,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Neurology Ward 2,0,232,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Neurosurgery Ward,0,165,,5,6,3.03,3.64,,,0.0,0.0,,,1,,0,,,1.0,,0.0,,,,4,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Geriatrics Ward,0,57,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,ENT Ward,0,236,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Hepatobiliary Surgery Ward,0,187,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Nephrology Ward,0,148,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Oncology Ward 1,0,349,,1,1,0.29,0.29,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,1,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Cardiothoracic Surgery Ward,0,128,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Haematology Ward,0,110,,3,3,2.73,2.73,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,2,,,,,,,,0.0,0.0,1.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Intensive Care Unit,0,101,,3,4,2.97,3.96,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,1,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,3.0,
2023,2,2023-02,2023-02,Orthopaedics Ward 1,0,248,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Orthopaedics Ward 3,0,1,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Orthopaedics Ward 2,0,253,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Orthopaedics Ward 4,0,6,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Orthopaedics Ward 3,0,3,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,0.0,,0.0,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,
2023,2,2023-02,2023-02,Hospital-wide,1,5822,,17,19,0.29,0.33,,,0.0,0.0,,,1,,1,,,1.0,,1.0,,,,8,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,3.0,
2023,3,2023-03,2023-03,Coronary Care Unit,0,46,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,TCM Ward,0,104,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,TCM Anorectal Surgery Ward,0,142,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Breast & Thyroid Surgery Ward,0,148,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Obstetrics Ward,0,167,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Paediatrics Ward,0,576,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
